Laser id,Elevation,Azimuth
1,14.881,-1.042
2,11.031,-1.042
3,8.058,-1.042
4,5.056,-1.042
5,3.039,-1.042
6,2.027,-1.042
7,1.687,3.125
8,1.35,-5.208
9,1.012,-1.042
10,0.674,3.125
11,0.336,-5.208
12,-0.001,-1.042
13,-0.338,3.125
14,-0.676,-5.208
15,-1.014,-1.042
16,-1.352,3.125
17,-1.689,-5.208
18,-2.029,-1.042
19,-2.366,3.125
20,-2.701,-5.208
21,-3.041,-1.042
22,-3.376,3.125
23,-3.713,-5.208
24,-4.051,-1.042
25,-4.386,3.125
26,-4.721,-5.208
27,-5.058,-1.042
28,-5.392,3.125
29,-5.727,-5.208
30,-6.062,-1.042
31,-7.064,-1.042
32,-8.06,-1.042
33,-9.061,-1.042
34,-10.046,-1.042
35,-11.033,-1.042
36,-12.007,-1.042
37,-12.975,-1.042
38,-13.931,-1.042
39,-18.89,-1.042
40,-24.898,-1.042
