Channel,Elevation,Azimuth
1,15.21,-1.042
2,11.36,-1.042
3,8.387,-1.042
4,5.385,-1.042
5,3.368,-1.042
6,2.356,-1.042
7,2.016,3.125
8,1.679,-5.208
9,1.341,-1.042
10,1.003,3.125
11,0.665,-5.208
12,0.328,-1.042
13,-0.009,3.125
14,-0.347,-5.208
15,-0.685,-1.042
16,-1.023,3.125
17,-1.36,-5.208
18,-1.7,-1.042
19,-2.037,3.125
20,-2.372,-5.208
21,-2.712,-1.042
22,-3.047,3.125
23,-3.384,-5.208
24,-3.722,-1.042
25,-4.057,3.125
26,-4.392,-5.208
27,-4.729,-1.042
28,-5.063,3.125
29,-5.398,-5.208
30,-5.733,-1.042
31,-6.735,-1.042
32,-7.731,-1.042
33,-8.732,-1.042
34,-9.557,-1.042
35,-10.704,-1.042
36,-11.678,-1.042
37,-12.646,-1.042
38,-13.602,-1.042
39,-18.561,-1.042
40,-24.569,-1.042
