Channel,Elevation,Azimuth
1,14.708,-1.042
2,10.858,-1.042
3,7.885,-1.042
4,4.883,-1.042
5,2.866,-1.042
6,1.854,-1.042
7,1.686,1.042
8,1.514,3.125
9,1.348,5.208
10,1.177,-5.208
11,1.01,-3.125
12,0.839,-1.042
13,0.672,1.042
14,0.501,3.125
15,0.334,5.208
16,0.163,-5.208
17,-0.005,-3.125
18,-0.174,-1.042
19,-0.343,1.042
20,-0.511,3.125
21,-0.682,5.208
22,-0.849,-5.208
23,-1.019,-3.125
24,-1.187,-1.042
25,-1.358,1.042
26,-1.525,3.125
27,-1.696,5.208
28,-1.862,-5.208
29,-2.034,-3.125
30,-2.202,-1.042
31,-2.372,1.042
32,-2.539,3.125
33,-2.71,5.208
34,-2.874,-5.208
35,-3.047,-3.125
36,-3.214,-1.042
37,-3.384,1.042
38,-3.549,3.125
39,-3.722,5.208
40,-3.886,-5.208
41,-4.058,-3.125
42,-4.224,-1.042
43,-4.395,1.042
44,-4.559,3.125
45,-4.732,5.208
46,-4.894,-5.208
47,-5.066,-3.125
48,-5.231,-1.042
49,-5.403,1.042
50,-5.565,3.125
51,-5.739,5.208
52,-5.9,-5.208
53,-6.072,-3.125
54,-6.235,-1.042
55,-7.237,-1.042
56,-8.233,-1.042
57,-9.234,-1.042
58,-10.059,-1.042
59,-11.206,-1.042
60,-12.18,-1.042
61,-13.148,-1.042
62,-14.104,-1.042
63,-19.063,-1.042
64,-25.071,-1.042
