Channel,Elevation,Azimuth
1,14.436,3.257
2,13.535,3.263
3,11.702,3.273
4,9.83,3.283
5,8.401,1.097
6,6.953,-1.101
7,5.487,-3.306
8,4.007,-1.109
9,3.013,-1.111
10,2.512,-3.324
11,2.013,-1.113
12,1.637,3.325
13,1.258,-5.538
14,1.008,-1.115
15,0.756,5.543
16,0.63,3.329
17,0.505,-3.336
18,0.379,1.108
19,0.251,-5.547
20,0.124,-7.738
21,0,-1.117
22,-0.129,7.743
23,-0.254,5.551
24,-0.38,3.335
25,-0.506,-3.342
26,-0.632,1.11
27,-0.76,-5.555
28,-0.887,-7.75
29,-1.012,-1.119
30,-1.141,7.757
31,-1.266,5.56
32,-1.393,3.34
33,-1.519,-3.347
34,-1.646,1.111
35,-1.773,-5.564
36,-1.901,-7.762
37,-2.027,-1.121
38,-2.155,7.768
39,-2.282,5.569
40,-2.409,3.345
41,-2.535,-3.353
42,-2.663,1.113
43,-2.789,-5.573
44,-2.916,-7.775
45,-3.044,-1.123
46,-3.172,7.78
47,-3.299,5.578
48,-3.425,3.351
49,-3.552,-3.358
50,-3.68,1.115
51,-3.806,-5.582
52,-3.933,-7.787
53,-4.062,-1.125
54,-4.19,7.792
55,-4.318,5.586
56,-4.444,3.356
57,-4.571,-3.363
58,-4.699,1.116
59,-4.824,-5.591
60,-5.081,-1.127
61,-5.336,5.595
62,-5.718,1.118
63,-6.1,-1.129
64,-6.607,-3.374
65,-7.117,-1.13
66,-7.624,-3.379
67,-8.134,-1.132
68,-8.64,-3.383
69,-9.149,3.381
70,-9.652,-3.388
71,-10.16,3.386
72,-10.665,1.127
73,-11.17,3.39
74,-11.672,1.129
75,-12.174,3.395
76,-12.673,1.131
77,-13.173,3.401
78,-13.67,1.133
79,-14.166,3.406
80,-14.66,1.135
81,-15.154,3.41
82,-15.645,1.137
83,-16.622,1.139
84,-17.592,1.142
85,-18.548,-3.426
86,-19.978,-1.145
87,-21.379,-3.436
88,-22.768,-1.146
89,-24.123,-3.446
90,-25.016,-3.449
