Channel,Elevation,Azimuth
1,-52.121,8.736
2,-49.785,8.314
3,-47.577,7.964
4,-45.477,7.669
5,-43.465,7.417
6,-41.528,7.198
7,-39.653,7.007
8,-37.831,6.838
9,-36.055,6.688
10,-34.32,6.554
11,-32.619,6.434
12,-30.95,6.326
13,-29.308,6.228
14,-27.69,6.14
15,-26.094,6.059
16,-24.517,5.987
17,-22.964,-5.27
18,-21.42,-5.216
19,-19.889,-5.167
20,-18.372,-5.123
21,-16.865,-5.083
22,-15.368,-5.047
23,-13.88,-5.016
24,-12.399,-4.988
25,-10.925,-4.963
26,-9.457,-4.942
27,-7.994,-4.924
28,-6.535,-4.91
29,-5.079,-4.898
30,-3.626,-4.889
31,-2.175,-4.884
32,-0.725,-4.881
33,0.725,5.493
34,2.175,5.496
35,3.626,5.502
36,5.079,5.512
37,6.534,5.525
38,7.993,5.541
39,9.456,5.561
40,10.923,5.584
41,12.397,5.611
42,13.877,5.642
43,15.365,5.676
44,16.861,5.716
45,18.368,5.759
46,19.885,5.808
47,21.415,5.862
48,22.959,5.921
49,24.524,-5.33
50,26.101,-5.396
51,27.697,-5.469
52,29.315,-5.55
53,30.957,-5.64
54,32.627,-5.74
55,34.328,-5.85
56,36.064,-5.974
57,37.84,-6.113
58,39.662,-6.269
59,41.537,-6.447
60,43.475,-6.651
61,45.487,-6.887
62,47.587,-7.163
63,49.795,-7.493
64,52.133,-7.892
