2.85,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1
operation mode,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3
angle state,0,0,1,1,2,2,3,3,0,0,1,1,0,0,1,1
1,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951
2,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636
3,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856
4,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556
5,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251
6,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396,39631,40396
7,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171
8,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711
9,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711,42711
10,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946
11,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751
12,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776,776
13,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751
14,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506
15,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921
16,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336
17,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116
18,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971,2971
19,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896
20,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531
21,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726
22,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701
23,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531,20531
24,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166,5166
25,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141
26,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921,24921
27,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311
28,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896,35896
29,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336,18336
30,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361
31,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116,27116
32,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726,22726
33,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506,31506
34,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141,16141
35,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946
36,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556,9556
37,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946,13946
38,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311,29311
39,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701,33701
40,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751,11751
41,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631
42,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936,41171,41936
43,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091,38091
44,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251,44251
45,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951,51951
46,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411,50411
47,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871,48871
48,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476,42711,43476
49,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331,47331
50,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791,45791
51,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491,53491
52,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631,39631
53,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171,41171
54,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791,45791,46556,45791,45791
55,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096
56,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871,48871,49636,48871,48871
57,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176
58,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716,51951,51951,51951,52716
59,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256
60,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016,44251,44251,44251,45016
61,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411,50411,51176,50411,50411
62,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331,47331,48096,47331,47331
63,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091,38091,38856,38091,38091
64,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491,53491,54256,53491,53491
