2.85,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1,distance>=A1,distance<A1
operation mode,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3
angle state,0,0,1,1,2,2,3,3,0,0,1,1,0,0,1,1
1,4436,5201,0,0,4436,4436,0,0,4436,5201,4436,4436,4436,5201,4436,4436
2,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
3,0,0,2781,4026,0,0,2431,2431,30559,31804,30209,30209,30559,31804,30209,30209
4,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
5,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
6,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
7,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
8,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
9,0,0,4786,4786,0,0,4086,4851,32564,32564,31864,32629,32564,32564,31864,32629
10,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
11,10381,10381,10731,12126,10381,10381,10031,10031,38509,39904,37809,37809,38509,39904,37809,37809
12,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
13,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
14,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
15,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
16,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
17,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
18,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
19,14951,27056,15301,15301,14951,14951,14601,14601,43079,27056,42379,42379,43079,27056,42379,42379
20,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
21,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
22,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
23,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
24,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
25,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
26,10381,10381,10731,27406,10381,10381,10031,10031,38509,55184,37809,37809,38509,55184,37809,37809
27,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
28,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
29,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
30,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
31,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
32,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
33,12666,12666,13016,13016,12666,27056,12316,12316,12666,12666,12666,27056,12666,12666,12666,27056
34,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
35,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
36,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
37,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
38,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
39,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
40,10381,10381,10731,10731,10381,10381,10031,26706,38509,38509,37809,54484,38509,38509,37809,54484
41,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
42,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
43,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
44,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
45,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
46,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
47,10381,10381,10731,10731,10381,10381,10031,11426,38509,38509,37809,39204,38509,38509,37809,39204
48,24091,24091,24441,24441,24091,24091,23741,23741,52219,52219,51519,51519,52219,52219,51519,51519
49,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
50,21806,21806,22156,22156,21806,21806,21456,21456,21806,21806,21806,21806,21806,21806,21806,21806
51,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
52,10381,10381,10731,10731,10381,10381,10031,10031,38509,38509,37809,37809,38509,38509,37809,37809
53,14951,14951,15301,15301,14951,14951,14601,14601,43079,43079,42379,42379,43079,43079,42379,42379
54,21806,23201,22156,22156,21806,21806,21456,21456,21806,23201,21806,21806,21806,23201,21806,21806
55,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
56,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
57,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
58,8096,8096,8446,8446,8096,8096,7746,7746,36224,36224,35524,35524,36224,36224,35524,35524
59,19521,19521,19871,19871,19521,19521,19171,19171,19521,19521,19521,19521,19521,19521,19521,19521
60,24091,24091,24441,24441,24091,24091,23741,25136,52219,52219,51519,52914,52219,52219,51519,52914
61,17236,17236,17586,17586,17236,17236,16886,16886,17236,17236,17236,17236,17236,17236,17236,17236
62,12666,12666,13016,13016,12666,12666,12316,12316,12666,12666,12666,12666,12666,12666,12666,12666
63,2431,3676,0,0,2781,2781,0,0,2431,3676,2781,2781,2431,3676,2781,2781
64,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
65,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
66,6441,6441,0,0,6091,6856,0,0,6441,6441,6091,6856,6441,6441,6091,6856
67,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
68,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
69,776,776,0,0,776,2021,0,0,776,776,776,2021,776,776,776,2021
70,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
71,2431,2431,0,0,2781,2781,0,0,2431,2431,2781,2781,2431,2431,2781,2781
72,2431,2431,0,0,2781,3546,0,0,2431,2431,2781,3546,2431,2431,2781,3546
73,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
74,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
75,0,0,776,2021,0,0,776,776,28554,29799,28554,28554,28554,29799,28554,28554
76,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
77,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
78,4436,5681,0,0,4436,4436,0,0,4436,5681,4436,4436,4436,5681,4436,4436
79,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
80,0,0,776,776,0,0,776,776,28554,28554,28554,28554,28554,28554,28554,28554
81,0,0,4786,4786,0,0,4086,5331,32564,32564,31864,33109,32564,32564,31864,33109
82,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
83,0,0,6441,7686,0,0,6091,6091,34219,35464,33869,33869,34219,35464,33869,33869
84,776,776,0,0,776,776,0,0,776,776,776,776,776,776,776,776
85,0,0,4786,4786,0,0,4086,4086,32564,32564,31864,31864,32564,32564,31864,31864
86,0,0,6441,6441,0,0,6091,6091,34219,34219,33869,33869,34219,34219,33869,33869
87,4436,4436,0,0,4436,4436,0,0,4436,4436,4436,4436,4436,4436,4436,4436
88,0,0,2781,2781,0,0,2431,2431,30559,30559,30209,30209,30559,30559,30209,30209
89,6441,6441,0,0,6091,6091,0,0,6441,6441,6091,6091,6441,6441,6091,6091
90,0,0,776,776,0,0,776,1541,28554,28554,28554,29319,28554,28554,28554,29319
