# MODULE        Class                                   Topic                               Period
CHASSIS         chassis_pb2.Chassis()                   /apollo/canbus/chassis              10
CHASSIS_DETAIL  chassis_detail_pb2.ChassisDetail()      /apollo/canbus/chassis_detail       10
CONTROL         control_cmd_pb2.ControlCommand()        /apollo/control                     10
LOCALIZATION    localization_pb2.LocalizationEstimate() /apollo/localization/pose           10
MONITOR         monitor_log_pb2.MonitorMessage()        /apollo/monitor                     10
PLANNING        planning_pb2.ADCTrajectory()            /apollo/planning                    200
PERCEPTION      perception_obstacle_pb2.PerceptionObstacles() /apollo/perception/obstacles  200
PREDICTION      prediction_obstacle_pb2.PredictionObstacles() /apollo/prediction            200
PAD             pad_msg_pb2.PadMessage()                /apollo/control/pad                 500
ODOMETRY        gps_pb2.Gps()                           /apollo/sensor/gnss/odometry        10
IMU             imu_pb2.Imu()                           /apollo/sensor/gnss/corrected_imu   10
ROUTING_RES     routing_pb2.RoutingResponse()           /apollo/routing_response            1
ROUTING_REQ     routing_pb2.RoutingRequest()            /apollo/routing_request             1
MOBILEYE        mobileye_pb2.Mobileye()                 /apollo/sensor/mobileye             100
DELPHI_ESR      delphi_esr_pb2.DelphiESR()              /apollo/sensor/delphi_esr           10
CONTI_RADAR     conti_radar_pb2.ContiRadar()            /apollo/sensor/conti_radar          20
SIGNAL_LIGHT    traffic_light_detection_pb2.TrafficLightDetection()  /apollo/perception/traffic_light 10
DRIVE_EVENT     drive_event_pb2.DriveEvent()            /apollo/drive_event                 500
SYSTEM_STATUS   system_status_pb2.SystemStatus()        /apollo/monitor/system_status       500
NAVIGATION      navigation_pb2.NavigationInfo()         /apollo/navigation                  1
RELATIVE_MAP    navigation_pb2.MapMsg()                 /apollo/relative_map                200
